喜ぶ, 0.8352435536790266, [], (144)
嬉しい, 0.6923241034081778, [], (14)
楽しい, 0.7806184554728753, [], (518)
美味しい, 0.7575535073479152, [], (6)
きれい, 0.767028832418859, [], (600)
美しい, 0.8296380682342097, [], (34)
楽しむ, 0.7682591039997042, [], (86)
悲しい, -0.6130690479732469, [], (72)
さみしい, -0.07981660673458336, [], (72)
辛い, -0.5768370722929053, [], (46)
寂しい, -0.6077607878747456, [], (50)
きたない, -1.0, [], (2)
痛い, -0.6914998733021289, [], (368)
まずい, -0.5777172873821779, [], (174)
残念, -0.6520263657220179, [], (38)
そうしたら, 0.6193891898764746, [], (75)
ワン, 0.7271830700052115, [], (32)
なんか, 0.4136109040875574, [], (7861)
走る, 0.6045590208748659, [], (180)
あたし, 0.04761351642639436, [], (1874)
さあ, 0.25334090149596034, [], (1854)
すごい, 0.42853273307689116, [], (6338)
いう, 0.420708913477564, [], (5962)
ふう, 0.7228985747165828, [], (112)
思う, 0.3514804412480209, [], (10657)
人, 0.7154726936873047, [], (8358)
とこ, 0.6802997889610524, [], (1447)
見かけ, 0.7770280612244898, [], (30)
どっか, 0.6460779422827571, [], (540)
宿, -0.3380322564495335, [], (32)
一番, 0.40544067906667436, [], (1018)
言う, 0.19717484050175807, [], (12072)
美, 0.9814814814814814, [], (8)
冷たい, -0.462273788890776, [], (88)
わかる, 0.24775611164733727, [], (5046)
それでも, 0.20935878831324978, [], (308)
食べる, -0.0007629018378523256, [], (2979)
ある, 0.3213920144320044, [], (12262)
スーパーマーケット, 0.75, [], (2)
いる, 0.24570345601098664, [], (4814)
撮れる, 0.7564402404346808, [], (23)
飲む, 0.23094645655330515, [], (880)
３, -0.3733903283542874, [], (2592)
撮る, -0.3345633995614604, [], (339)
あっ, -0.18860168002971717, [], (2408)
ね, 0.3710979424954602, [], (1480)
写真, 0.6144498666947974, [], (438)
とっても, 0.5559135376613555, [], (143)
感じ, 0.48493811685073895, [], (2874)
置く, 0.6498268228009468, [], (526)
お母さん, 0.37845506969570875, [], (822)
だって, 0.20925565219713846, [], (2125)
しかも, -0.38938328388538124, [], (494)
行く, 0.14174258508337276, [], (6156)
とき, 0.2625330872987329, [], (4939)
見る, 0.5354861114547572, [], (3710)
肩, -0.613910533910534, [], (35)
なる, 0.4677273010836961, [], (4882)
しゃべる, 0.31640531682079864, [], (635)
有名, 0.7818800115643423, [], (154)
やる, 0.5685741179573096, [], (7425)
甘い, -0.4518971394725813, [], (185)
ちょっと, -0.0035799907174376977, [], (5421)
歯, -0.5444143179091624, [], (95)
やつ, 0.16100746280737188, [], (1895)
かむ, -0.3997639557574802, [], (73)
引っかかる, -0.47463749048570475, [], (16)
うん, 0.3152133149748092, [], (24972)
なん, 0.23267573729919888, [], (6934)
何, 0.3234311153582934, [], (14702)
今日, -0.38132544267225454, [], (1084)
絵はがき, 0.8376389692179166, [], (12)
でも, 0.2897889785143072, [], (8738)
あ, 0.25078953605410326, [], (9252)
紅葉, 0.6913622092206447, [], (60)
こう, 0.09026067356609088, [], (4621)
まあ, 0.5423383253012062, [], (3529)
人生, 0.6560887392860618, [], (61)
苦労, 0.6694075322079512, [], (71)
生活, 0.6310129536844409, [], (194)
自分, 0.4487481295701661, [], (2101)
いい, 0.629138906040923, [], (7835)
えっ, 0.6301704895660165, [], (1383)
ところ, 0.5634303822371063, [], (1976)
*, 0.16767669343006877, [], (27607)
続く, 0.6082271120677123, [], (120)
すっごい, 0.4413167731062598, [], (792)
連れる, 0.7025404967082058, [], (280)
する, 0.45766831607821795, [], (8750)
帰る, 0.5250047475880742, [], (1376)
日本語, 0.7001014709704629, [], (910)
単に, 0.7609799621603027, [], (39)
習わす, 0.5555555555555556, [], (3)
男, 0.8425628571384562, [], (441)
違う, 0.3552868163491276, [], (3438)
学生, 0.6984579507041875, [], (680)
大変, 0.157502341257811, [], (1064)
かも, 0.6726937219818698, [], (110)
結局, 0.16995996871700803, [], (757)
腰, -0.5828530966915721, [], (27)
そう, 0.24339065479477595, [], (21981)
どんなに, 0.5115145148968678, [], (14)
たたく, 0.626614796653395, [], (39)
向こう, 0.710571831801869, [], (671)
よいしょ, 0.7133800516613016, [], (83)
字, 0.6943296953366638, [], (102)
いろいろ, 0.6514877149983058, [], (1030)
足, -0.46746459604500085, [], (291)
虫歯, -0.43717427000785325, [], (11)
行う, 0.2897004703180248, [], (1702)
そしたら, 0.316040309188529, [], (879)
何となく, -0.3144566044605993, [], (68)
辺, -0.3793154716630146, [], (437)
つる, -0.3858963485308997, [], (285)
ものすごい, 0.3560874990301002, [], (198)
あれ, 0.2782362597377105, [], (5147)
しょうが, 0.6510599685854626, [], (381)
そこ, 0.6532856897546053, [], (1588)
見える, 0.675188734252444, [], (514)
ま, 0.4528655479934658, [], (2084)
接客, 0.7277380952380952, [], (9)
そる, 0.5915953375768841, [], (25)
ばん, 0.37222222222222223, [], (14)
発音, 0.7309276426194471, [], (86)
ほんとに, 0.5188646410127576, [], (1874)
恐ろしい, -0.44641894874668486, [], (42)
よい, 0.1469861096271595, [], (1420)
胃, -0.6994301994301995, [], (40)
いや, 0.15622146690362898, [], (2792)
お, 0.6015512220001473, [], (4373)
デンマーク, 0.5988756613756614, [], (9)
クリスマス, 0.14645992996432503, [], (162)
町並み, 0.9861111111111112, [], (4)
相当, 0.3209176931831597, [], (65)
たぶん, 0.48097639070944864, [], (1834)
景色, 0.8751813584629254, [], (27)
え, 0.3971927791117008, [], (2543)
それ, -0.04482261184414926, [], (9870)
お願い, -0.5554306569357153, [], (226)
